messageKey,,en,de,es,fr,pt,ru
material.commodity.hazardousenvironmentsuits,H.E. Suits,H.E. Suits,Schutzanzüge,Combinaisons de protection,Trajes de protección,Traje espacial,Защитные костюмы
material.commodity.medicaldiagnosticequipment,Medical Diagnostic Equipment,Medical Diagnostic Equipment,Medizinische Diagnostikausrüstung,Équipement de diagnostic médical,Equipo de diagnóstico médico,Equipamento de diagnóstico médico,Диагностическое медоборудование
material.commodity.microcontrollers,Micro Controllers,Micro Controllers,Mikrocontroller,Microcontrôleurs,Microcontroladores,Microcontroladores,Микроконтроллеры
material.commodity.mutomimager,Muon Imager,Muon Imager,Myon-Bildgeber,Dispositif d''imagerie muonique,Escáner muónico,Escâner de múon,Мюонное видеоустройство
material.commodity.nanobreakers,Nanobreakers,Nanobreakers,Nanozertrümmerer,Nanodestructeurs,Nanorrompedores,Nanodisjuntores,Нанопрерыватели
material.commodity.resonatingseparators,Resonating Separators,Resonating Separators,Resonanzabgrenzer,Séparateurs à résonance,Separadores resonantes,Separadores ressonantes,Резонансные сепараторы
material.commodity.robotics,Robotics,Robotics,Roboter,Robots,Robótica,Robótica,Роботы
material.commodity.structuralregulators,Structural Regulators,Structural Regulators,Strukturregulatoren,Régulateur(s) structurel(s),Reguladores estructurales,Registradores estruturais,Конструкционные регуляторы
material.commodity.telemetrysuite,Telemetry Suite,Telemetry Suite,Telemetrie-Paket,Système de télémétrie,Paquete de telemetría,Conjunto de telemetria,Телеметрический комплект
material.commodity.terrainenrichmentsystems,Land Enrichment Systems,Land Enrichment Systems,Landanreicherungssysteme,Sys. enrichissement sols,Enriquecimiento terrestre,Enriquecedor de solo,Системы обогащения почвы
material.commodity.xihecompanions,Xihe Biomorphic Companions,Xihe Biomorphic Companions,Xihe Biomorphic Companions,Compagnons biomorphiques de Xihe,Mascotas biomórficas de Xihe,Mascotes biomórficos de Xihe,Биоморфные спутники Xihe
material.commodity.bankiamphibiousleather,Banki Amphibious Leather,Banki Amphibious Leather,Banki-Amphibienleder,Cuir d''amphibien de Banki,Cuero anfibio de Banki,Couro anfíbio de Banki,Кожа банкийских амфибий
material.commodity.belalansrayleather,Belalans Ray Leather,Belalans Ray Leather,Belalans-Rochenleder,Cuir de raie de Belalans,Cuero de raya de Belalans,Couro de arraia de Belalans,Кожа белаланских скатов
material.commodity.chameleoncloth,Chameleon Cloth,Chameleon Cloth,Chamäleon-Kleidung,Tissu caméléon,Ropa mimética,Tecido camaleônico,Ткань-хамелеон
material.commodity.conductivefabrics,Conductive Fabrics,Conductive Fabrics,Leitfähige Stoffe,Tissus conducteurs,Tejidos conductivos,Tecidos condutores,Проводящая ткань
material.commodity.damnacarapaces,Damna Carapaces,Damna Carapaces,Damna-Schildpanzer,Carapaces de Damna,Caparazones de Damna,Carapaças de Damna,Панцири с Дамны
material.commodity.jotunmookah,Jotun Mookah,Jotun Mookah,Jotun Mookah,Mookah de Jotun,Mookah de Jotun,Mookah de Jotun,Йотунская моока
material.commodity.leather,Leather,Leather,Leder,Cuir,Cuero,Couro,Кожа
material.commodity.militarygradefabrics,Military Grade Fabrics,Military Grade Fabrics,Militärische Stoffe,Tissus militaires,Tejido de categoría militar,Tecidos de nível militar,Ткани военного класса
material.commodity.naturalfabrics,Natural Fabrics,Natural Fabrics,Naturfasern,Fibre(s) textile(s) naturelle(s),Tejidos naturales,Tecidos naturais,Натуральная ткань
material.commodity.rapabaosnakeskins,Rapa Bao Snake Skins,Rapa Bao Snake Skins,Rapa-Bao-Schlangenhäute,Peau de serpent Rapa Bao,Pieles de serpiente de Rapa Bao,Peles de cobra de Rapa Bao,Змеиные шкуры с Рапа Бао
material.commodity.syntheticfabrics,Synthetic Fabrics,Synthetic Fabrics,Chemiefasern,Tissu(s) synthétique(s),Tejidos sintéticos,Tecidos sintéticos,Синтетическая ткань
material.commodity.tiegfriessynthsilk,Tiegfries Synth Silk,Tiegfries Synth Silk,Tiegfries-Synthetikseide,Soie synthétique de Tiegfries,Seda sintética de Tiegfries,Seda sintética de Tiegfries,Тигфрайский синтешелк
material.commodity.vanayequirhinofur,Vanayequi Ceratomorpha Fur,Vanayequi Ceratomorpha Fur,Vanayequi-Ceratomorpha-Fell,Fourrure de cératomorphe de Vanayequi,Piel de ceratomorfo de Vanayequi,Pele de ceratomorfo de Vanayequi,Мех носорогов с Ванайеку
material.commodity.biowaste,Biowaste,Biowaste,Biomüll,Biodéchets,Residuos biológicos,Resíduo biológico,Биоотходы
material.commodity.chemicalwaste,Chemical Waste,Chemical Waste,Chemiemüll,Déchets chimiques,Residuos químicos,Resíduo químico,Радиоактивные материалы
material.commodity.scrap,Scrap,Scrap,Schrott,Ferraille,Chatarra,Sucata,Утильсырье
material.commodity.toxicwaste,Toxic Waste,Toxic Waste,Giftmüll,Déchets toxiques,Residuos tóxicos,Resíduo tóxico,Токсичные отходы
material.commodity.battleweapons,Battle Weapons,Battle Weapons,Kriegswaffen,Armes militaires,Armas de batalla,Armas de batalha,Военное оружие
material.commodity.borasetanipathogenetics,Borasetani Pathogenetics,Borasetani Pathogenetics,Borasetani-Pathogenetika,Fléau de Borasetani,Patógenos de Borasetani,Patógenos de Borasetani,Боразетанские патогены
material.commodity.gilyasignatureweapons,Gilya Signature Weapons,Gilya Signature Weapons,Gilya-Signaturwaffen,Armes personnalisées Gilyanes,Armas personalizables de Gilya,Armas personalizadas de Gilya,Именное оружие из системы Гилья
material.commodity.hip118311swarm,HIP 118311 Swarm,HIP 118311 Swarm,HIP 118311 Swarm,Essaim de HIP 118311,SWARM de HIP 118311,Enxame de HIP 118311,Рой HIP 118311
material.commodity.holvaduellingblades,Holva Duelling Blades,Holva Duelling Blades,Holva-Duellschwerter,Lame de duel de Holva,Espadas de duelo de Holva,Espadas de duelo de Holva,Хольванские дуэльные клинки
material.commodity.kamorinhistoricweapons,Kamorin Historic Weapons,Kamorin Historic Weapons,Histor. Kamorin-Waffen,Armes historiques de Kamorin,Armas históricas de Kamorin,Armas históricas de Kamorin,Каморинское историческое оружие
material.commodity.landmines,Landmines,Landmines,Landminen,Mines terrestres,Minas terrestres,Minas terrestres,Мины
material.commodity.nonlethalweapons,Non-Lethal Weapons,Non-Lethal Weapons,Nichttödliche Waffen,Armes incapacitantes,Armas no letales,Armas não letais,Нелетальное оружие
material.commodity.personalweapons,Personal Weapons,Personal Weapons,Persönliche Waffen,Armes de poing,Armas personales,Armas pessoais,Личное оружие
material.commodity.reactivearmour,Reactive Armour,Reactive Armour,Reaktivrüstung,Protection réactive,Blindaje reactivo,Blindagem reativa,Реактивная защита
material.commoditytype.chemicals,Chemicals,Chemicals,Chemikalien,Químicos,Produits chimiques,Produtos químicos,Химикаты
material.commoditytype.consumer_items,Consumer Items,Consumer Items,Verbraucherartikel,Artículos de consumo,Articles de consommation,Itens de consumo,Потребительские товары
material.commoditytype.foods,Foods,Foods,Lebensmittel,Alimentos,nourriture,Alimentos,Еда
material.commoditytype.industrial_materials,Industrial Materials,Industrial Materials,Industriematerialien,Materiales industriales,Matériaux industriels,Materiais industriais,Промышленные материалы
material.commoditytype.legal_drugs,Legal Drugs,Legal Drugs,Legale Drogen,Drogas legales,Drogues légales,Drogas legais,Легальные лекарства
material.commoditytype.machinery,Machinery,Machinery,Maschinen,Maquinaria,Machinerie,Máquinas,Машины
material.commoditytype.medicines,Medicines,Medicines,Medikamente,Medicamentos,Médicaments,Remédios,Лекарства
material.commoditytype.metals,Metals,Metals,Metalle,Rieles,Les métaux,Metais,Металлы
material.commoditytype.minerals,Minerals,Minerals,Mineralien,Minerales,Minéraux,Minerais,Минералы
material.commoditytype.nonmarketable,Nonmarketable,Nonmarketable,Nicht marketbar,No comercializado,Non marchant,Não -mercado,Не рыночный
material.commoditytype.salvage,Salvage,Salvage,Bergung,Salvar,Sauvetage,Salvamento,Спасение
material.commoditytype.slavery,Slavery,Slavery,Sklaverei,Esclavitud,Esclavage,Escravidão,Рабство
material.commoditytype.technology,Technology,Technology,Technologie,Tecnología,Technologie,Tecnologia,Технологии
material.commoditytype.textiles,Textiles,Textiles,Textilien,Textiles,Textiles,Têxteis,Текстиль
material.commoditytype.waste,Waste,Waste,Abfall,Desperdiciar,Gaspillage,Desperdício,Напрасно тратить
material.commoditytype.weapons,Weapons,Weapons,Waffen,Arma,Armes,Armas,Оружие
material.consumable.amm_grenade_emp,Shield Disruptor,Shield Disruptor,Schildunterbrecher,Supresor de escudo,Neutralisateur de bouclier,Disruptor de escudo,Разрушитель щитов
material.consumable.amm_grenade_frag,Frag Grenade,Frag Grenade,Splittergranate,Granada de fragmentación,Grenade à fragmentation,Granada de fragmentação,Осколочная граната
material.consumable.amm_grenade_shield,Shield Projector,Shield Projector,Schildgenerator,Proyector de escudo,Générateur de bouclier,Projetor de escudo,Проектор щита
material.consumable.bypass,E-Breach,E-Breach,E-Breach,Fisura,Omnipasse,Brecha,Взломщик
material.consumable.energycell,Energy Cell,Energy Cell,Energiezelle,Célula de energía,Cellule d''énergie,Célula de energia,Энергоячейка
material.consumable.healthpack,Medkit,Medkit,Medikit,Botiquín,Médikit,Kit médico,Аптечка
material.consumable.unknown,UNKNOWN,UNKNOWN,UNBEKANNT,DESCONOCIDO,INCONNU,DESCONHECIDO,НЕИЗВЕСТНЫЙ
material.data.accidentlogs,Accident Logs,Accident Logs,Unfall-Logs,Registros de accidentes,Journaux d''accidents,Registros de acidente,Журнал происшествий
material.data.airqualityreports,Air Quality Reports,Air Quality Reports,Berichte zur Luftqualität,Registros de calidad del aire,Rapports de qualité de l''air,Relatórios de qualidade do ar,Отчеты о качестве воздуха
material.data.atmosphericdata,Atmospheric Data,Atmospheric Data,Atmosphärische Daten,Datos atmosféricos,Données atmosphériques,Dados atmosféricos,Атмосферные данные
material.data.audiologs,Audio Logs,Audio Logs,Audio-Logs,Registros de audio,Journaux audio,Registros de áudio,Аудиозаписи
material.data.axcombatlogs,AX Combat Logs,AX Combat Logs,AX-Kampf-Logs,Registros de combate AX,Journaux de combat AX,Registros de combate AX,Боевой журнал АИ
material.data.ballisticsdata,Ballistics Data,Ballistics Data,Ballistische Daten,Datos balísticos,Données balistiques,Dados balísticos,Баллистические данные
material.data.biologicalweapondata,Biological Weapon Data,Biological Weapon Data,Biowaffen-Daten,Datos de armas biológicas,Données d''arme biologique,Dados de arma biológica,Данные о биологическом оружии
material.data.biometricdata,Biometric Data,Biometric Data,Biometrische Daten,Datos biométricos,Données biométriques,Dados Biométricos,Биометрические данные
material.data.blacklistdata,Blacklist Data,Blacklist Data,Daten der Schwarzen Liste,Datos de lista negra,Liste noire,Dados de lista negra,Черный список
material.data.bloodtestresults,Blood Test Results,Blood Test Results,Bluttest-Ergebnisse,Resultados de análisis de sangre,Résultats de tests sanguins,Resultados de exames de sangue,Результаты анализа крови
material.data.campaignplans,Campaign Plans,Campaign Plans,Kampagnenpläne,Planes de campaña,Plans de campagne,Planos de campanha,План кампании
material.data.catmedia,Cat Media,Cat Media,Katzen-Medien,Catálogo de medios,Médiathèque féline,Mídias de gatinhos,Медиаконтент с котиками
material.data.censusdata,Census Data,Census Data,Zensusdaten,Datos censales,Données de recensement,Dados de recenseamento,Данные переписи населения
material.data.chemicalexperimentdata,Chemical Experiment Data,Chemical Experiment Data,Chemieexperiment-Daten,Datos de experimentos químicos,Données d''expériences chimiques,Dados de experimentos químicos,Данные о химических экспериментах
material.data.chemicalformulae,Chemical Formulae,Chemical Formulae,Chemische Formeln,Fórmulas químicas,Formules chimiques,Fórmulas químicas,Химические формулы
material.data.chemicalinventory,Chemical Inventory,Chemical Inventory,Chemische Bestandsliste,Inventario químico,Inventaire chimique,Estoque químico,Опись химикатов
material.data.chemicalpatents,Chemical Patents,Chemical Patents,Chemische Patente,Patentes químicas,Brevets chimiques,Patentes químicas,Химические патенты
material.data.chemicalweapondata,Chemical Weapon Data,Chemical Weapon Data,Chemiewaffen-Daten,Datos de armas químicas,Données d''armes chimiques,Dados de armas químicas,Данные о химическом оружии
material.data.classicentertainment,Classic Entertainment,Classic Entertainment,Klassische Unterhaltung,Entretenimiento clásico,Médiathèque classique,Entretenimento clássico,Классические развлечения
material.data.cocktailrecipes,Cocktail Recipes,Cocktail Recipes,Cocktail-Rezepte,Recetas de cócteles,Recettes de cocktails,Receitas de coquetéis,Рецепты коктейлей
material.data.combatantperformance,Combatant Performance,Combatant Performance,Kampfleistung,Rendimiento de combatiente,Performances de combat,Desempenho em combate,Боевые характеристики
material.data.combattrainingmaterial,Combat Training Material,Combat Training Material,Kampftraining-Materialien,Material de entrenamiento de combate,Méthodes d''entraînement au combat,Material de treinamento para combate,Учебные материалы по боевой подготовке
material.data.conflicthistory,Conflict History,Conflict History,Konflikthistorie,Historial de conflictos,Historique de conflit,Histórico de conflito,История конфликта
material.data.criminalrecords,Criminal Records,Criminal Records,Strafakten,Registros criminales,Casiers judiciaires,Registros criminais,Досье
material.data.cropyieldanalysis,Crop Yield Analysis,Crop Yield Analysis,Ernteertrag-Analyse,Análisis de producción agrícola,Analyse de rendement agricole,Análise de rendimento agrícola,Анализ урожая
material.data.culinaryrecipes,Culinary Recipes,Culinary Recipes,Kulinarische Rezepte,Recetas culinarias,Recettes culinaires,Receitas culinárias,Кулинарные рецепты
material.data.digitaldesigns,Digital Designs,Digital Designs,Digitale Konzepte,Diseños digitales,Plans numériques,Projetos digitais,Дизайнерский проект
material.data.dutyrota,Duty Rota,Duty Rota,Dienstpläne,Turnos de guardia,Planning professionnel,Escala de trabalho,График дежурств
material.data.employeedirectory,Employee Directory,Employee Directory,Mitarbeiterverzeichnis,Directorio de empleados,Registre des employés,Lista de funcionários,Досье работников
material.data.employeeexpenses,Employee Expenses,Employee Expenses,Aufwendungen für Mitarbeiter,Gastos de personal,Notes de frais,Despesas com funcionários,Расходы работников
material.data.employeegeneticdata,Employee Genetic Data,Employee Genetic Data,Gen-Daten von Mitarbeitern,Datos genéticos de empleados,Données génétiques d''employés,Dados genéticos dos funcionários,Генетические данные работников
material.data.employmenthistory,Employment History,Employment History,Beschäftigungshistorie,Historial de empleo,Expérience professionnelle,Histórico profissional,История трудоустройства
material.data.enhancedinterrogationrecordings,Enhanced Interrogation Recordings,Enhanced Interrogation Recordings,Optimierte Vernehmungsaufzeichnungen,Registros de interrogatorios mejorados,Enregistrements d''interrogatoires poussés,Gravações de interrogatório avançado,Расширенный протокол допроса
material.data.espionagematerial,Espionage Material,Espionage Material,Spionagematerial,Material de espionaje,Documents confidentiels,Material de espionagem,Разведданные
material.data.evacuationprotocols,Evacuation Protocols,Evacuation Protocols,Evakuierungsprotokolle,Protocolos de evacuación,Protocoles d''évacuation,Protocolos de evacuação,Алгоритм эвакуации
material.data.explorationjournals,Exploration Journals,Exploration Journals,Erkundungstagebücher,Diarios de exploración,Journaux d''exploration,Diários de exploração,Исследовательские дневники
material.data.extractionyielddata,Extraction Yield Data,Extraction Yield Data,Daten zur Förderungsausbeute,Datos de producción minera,Données de rendement minier,Dados de produção extrativa,Данные об объеме добычи
material.data.factionassociates,Faction Associates,Faction Associates,Fraktionspartner,Socios de facción,Affiliations d''une faction,Associados da facção,Партнеры фракции
material.data.factiondonatorlist,Faction Donator List,Faction Donator List,Spenderliste einer Fraktion,Lista de donadores de facción,Liste des donateurs d''une faction,Lista de doadores da facção,Список спонсоров фракции
material.data.factionnews,Faction News,Faction News,Fraktionsnachrichten,Noticias de facción,Actualité d''une faction,Notícias sobre a facção,Новости фракции
material.data.financialprojections,Financial Projections,Financial Projections,Finanzprognosen,Previsiones financieras,Projections financières,Projeções financeiras,Финансовые прогнозы
material.data.fleetregistry,Fleet Registry,Fleet Registry,Flottenliste,Registro de flota,Registre de flotte,Registro de frota,Реестр флота
material.data.genesequencingdata,Gene Sequencing Data,Gene Sequencing Data,Gen-Sequenzierungsdaten,Datos de secuenciación genética,Données de séquençage génétique,Dados de sequenciamento genético,Данные о секвенировании генов
material.data.geneticresearch,Genetic Research,Genetic Research,Genforschung,Estudio genético,Recherches génétiques,Pesquisas genéticas,Материалы генетического исследования
material.data.geologicaldata,Geological Data,Geological Data,Geologische Daten,Datos geológicos,Données géologiques,Dados geológicos,Геологические данные
material.data.hydroponicdata,Hydroponic Data,Hydroponic Data,Hydrokultur-Daten,Datos hidropónicos,Données hydroponiques,Dados de hidroponia,Данные о гидропонике
material.data.incidentlogs,Incident Logs,Incident Logs,Zwischenfall-Logs,Registros de incidentes,Journaux d''incidents,Registros de incidentes,Журнал событий
material.data.influenceprojections,Influence Projections,Influence Projections,Einfluss-Projektionen,Previsiones de influencia,Perspectives,Projeções de influência,Прогноз влияния
material.data.internalcorrespondence,Internal Correspondence,Internal Correspondence,Interne Korrespondenz,Correspondencia interna,Mémo interne,Correspondência interna,Внутренняя корреспонденция
material.data.interrogationrecordings,Interrogation Recordings,Interrogation Recordings,Vernehmungsaufzeichnungen,Registros de interrogatorios,Enregistrements d''interrogatoires,Gravações de interrogatórios,Протоколы допроса
material.data.interviewrecordings,Interview Recordings,Interview Recordings,Aufzeichnungen von Vorstellungsgesprächen,Registros de entrevista,Enregistrements d''entretiens,Gravações de entrevistas,Результаты собеседования
material.data.jobapplications,Job Applications,Job Applications,Bewerbungen,Solicitudes de empleo,Candidatures professionnelles,Candidaturas para emprego,Заявления о приеме на работу
material.data.kompromat,Kompromat,Kompromat,Kompromittierendes Material,Material comprometedor,Kompromat,Kompromat,Компромат
material.data.literaryfiction,Literary Fiction,Literary Fiction,Belletristik,Ficción literaria,Romans,Ficção literária,Художественная литература
material.data.maintenancelogs,Maintenance Logs,Maintenance Logs,Wartungs-Logs,Registros de mantenimiento,Journaux de maintenance,Registros de manutenção,Журнал обслуживания
material.data.manufacturinginstructions,Manufacturing Instructions,Manufacturing Instructions,Herstellungsanweisungen,Instrucciones de fabricación,Guides industriels,Instruções de fabricação,Производственные инструкции
material.data.medicalrecords,Medical Records,Medical Records,Medizinische Daten,Historiales médicos,Dossiers médicaux,Registros médicos,Медицинские карты
material.data.medicaltrialrecords,Clinical Trial Records,Clinical Trial Records,Klinische Prüfberichte,Registros de ensayos clínicos,Essais cliniques,Registros de teste clínico,Результаты клинических испытаний
material.data.meetingminutes,Meeting Minutes,Meeting Minutes,Besprechungsprotokolle,Actas de reuniones,Compte-rendu de réunion,Ata de reunião,Протоколы заседаний
material.data.mineralsurvey,Mineral Survey,Mineral Survey,Mineralienübersicht,Estudio mineral,Rapport de prospection,Pesquisa mineral,Результаты геологической разведки
material.data.mininganalytics,Mining Analytics,Mining Analytics,Abbau-Analytik,Análisis de minería,Analyses minières,Análise de mineração,Анализ горнодобывающей промышленности
material.data.multimediaentertainment,Multimedia Entertainment,Multimedia Entertainment,Multimedia-Unterhaltung,Entretenimiento multimedia,Médiathèque,Entretenimento multimídia,Мультимедийные развлечения
material.data.networkaccesshistory,Network Access History,Network Access History,Netzwerkzugriffshistorie,Historial de acceso a la red,Historique réseau,Histórico de acesso à rede,История сетевой активности
material.data.networksecurityprotocols,Network Security Protocols,Network Security Protocols,Netzwerksicherheitsprotokolle,Protocolos de seguridad de red,Protocoles de sécurité réseau,Protocolos de segurança de rede,Протоколы безопасности сети
material.data.nextofkinrecords,Next of Kin Records,Next of Kin Records,Angehörigen-Aufzeichnungen,Registros familiares,Liste de proches,Registros familiares,Сведения о ближайших родственниках
material.data.nocdata,NOC Data,NOC Data,Geheimoperation-Daten,Datos del AEE,Données d''agent clandestin,Dados Operacionais sigilosos,Данные по тайным агентам
material.data.operationalmanual,Operational Manual,Operational Manual,Bedienungsanleitung,Manual de operaciones,Mode d''emploi,Manual operacional,Руководство по эксплуатации
material.data.opinionpolls,Opinion Polls,Opinion Polls,Umfrageergebnisse,Sondeos de opinión,Sondages,Pesquisas de opinião,Опросы общественного мнения
material.data.patienthistory,Patient History,Patient History,Patientenhistorie,Historial clínico,Antécédents médicaux,Histórico de paciente,История болезни
material.data.patrolroutes,Patrol Routes,Patrol Routes,Patrouillenrouten,Rutas de patrulla,Itinéraires de patrouille,Rotas de patrulhamento,Маршруты патрулирования
material.data.payrollinformation,Payroll Information,Payroll Information,Gehaltsinformationen,Información salarial,Informations salariales,Informações de folha de pagamento,Платежная ведомость
material.data.personallogs,Personal Logs,Personal Logs,Persönliche Logs,Registros personales,Journaux personnels,Registros pessoais,Личные дневники
material.data.pharmaceuticalpatents,Pharmaceutical Patents,Pharmaceutical Patents,Pharmazeutische Patente,Patentes farmacéuticas,Brevets pharmaceutiques,Patentes farmacêuticas,Фармацевтические патенты
material.data.photoalbums,Photo Albums,Photo Albums,Fotoalben,Álbumes de fotos,Albums photo,Álbuns de fotografia,Фотоальбомы
material.data.plantgrowthcharts,Plant Growth Charts,Plant Growth Charts,Diagramme zum Pflanzenwachstum,Gráficos de crecimiento de plantas,Courbes de croissance végétale,Gráficos de crescimento de plantas,График роста растений
material.data.politicalaffiliations,Political Affiliations,Political Affiliations,Politische Beziehungen,Afiliaciones políticas,Affiliations politiques,Afiliações políticas,Политическая ориентация
material.data.prisonerlogs,Prisoner Logs,Prisoner Logs,Gefangenen-Logs,Registros de prisioneros,Dossiers pénitentiaires,Registros de prisioneiros,Списки заключенных
material.data.productionreports,Production Reports,Production Reports,Produktionsberichte,Informes de producción,Rapports de production,Relatórios de produção,Отчеты о производстве
material.data.productionschedule,Production Schedule,Production Schedule,Produktionszeitplan,Programa de producción,Planning de production,Cronograma de produção,Производственный график
material.data.propaganda,Propaganda,Propaganda,Propaganda,Propaganda,Propagande,Propaganda,Пропаганда
material.data.purchaserecords,Purchase Records,Purchase Records,Kaufaufzeichnungen,Registros de compra,Registre d''acquisitions,Registros de compras,Списки покупок
material.data.purchaserequests,Purchase Requests,Purchase Requests,Kaufanfragen,Solicitudes de compra,Demandes d''achats,Pedidos de compra,Запросы на покупку
material.data.radioactivitydata,Radioactivity Data,Radioactivity Data,Daten zur Radioaktivität,Datos de radioactividad,Relevés de radioactivité,Dados sobre radioatividade,Информация о радиоактивности
material.data.reactoroutputreview,Reactor Output Review,Reactor Output Review,Evaluierung der Reaktorleistung,Informe de capacidad del reactor,Évaluation énergétique,Análise de produção do reator,Оценка выходной мощности реактора
material.data.recyclinglogs,Recycling Logs,Recycling Logs,Recycling-Logs,Registros de reciclaje,Journaux de recyclage,Registros de reciclagem,Журнал утилизации отходов
material.data.residentialdirectory,Residential Directory,Residential Directory,Einwohnerverzeichnis,Directorio residencial,Annuaire résidentiel,Listagem residencial,Адресная книга
material.data.riskassessments,Risk Assessments,Risk Assessments,Gefährdungsbeurteilungen,Valoración de riesgos,Évaluation des risques,Avaliações de risco,Оценка рисков
material.data.salesrecords,Sales Records,Sales Records,Verkaufszahlen,Registros de ventas,Historique des ventes,Registros de vendas,Отчеты о продажах
material.data.securityexpenses,Security Expenses,Security Expenses,Aufwendungen für Sicherheit,Gastos de seguridad,Dépenses de sécurité,Despesas com segurança,Расходы на охрану
material.data.seedgeneaology,Seed Geneaology,Seed Geneaology,Saatgut-Geneaologie,Genealogía de simientes,Patrimoine génétique de semences,Genealogia de sementes,Генеалогия семенного материала
material.data.settlementassaultplans,Settlement Assault Plans,Settlement Assault Plans,Siedlungsangriffspläne,Planes de ataque del asentamiento,Plans d''assaut d''une installation,Planos de ataque a assentamento,Планы атак на поселение
material.data.settlementdefenceplans,Settlement Defence Plans,Settlement Defence Plans,Siedlungsverteidigungspläne,Planes de defensa del asentamiento,Plans de défense d''une installation,Planos de defesa do assentamento,Планы обороны поселения
material.data.shareholderinformation,Shareholder Information,Shareholder Information,Aktionärsinformationen,Información de accionistas,Actionnariat,Informações sobre acionistas,Информация об акционерах
material.data.slushfundlogs,Slush Fund Logs,Slush Fund Logs,Schmiergeld-Logs,Registros de fondos de reptiles,Caisse noire,Registros de caixa dois,Журналы подставного фонда
material.data.smearcampaignplans,Smear Campaign Plans,Smear Campaign Plans,Pläne für Verleumdungskampagne,Planes de campañas de desprestigio,Campagne de calomnie,Planos de campanha de difamação,Планы кампании по дискредитации
material.data.spectralanalysisdata,Spectral Analysis Data,Spectral Analysis Data,Spektralanalyse-Daten,Datos de análisis de espectro,Données d''analyse spectrale,Dados de análise de espectro,Результаты спектрального анализа
material.data.spyware,Spyware,Spyware,Spyware,Software espía,Programme-espion,Spyware,Шпионские программы
material.data.stellaractivitylogs,Stellar Activity Logs,Stellar Activity Logs,Sternenaktivitäts-Logs,Registros de actividad estelar,Journaux d''activité stellaire,Registros de atividade estelar,Журналы звездной активности
material.data.surveilleancelogs,Surveillance Logs,Surveillance Logs,Überwachungs-Logs,Registros de vigilancia,Journaux de surveillance,Registros de vigilância,Журналы наблюдения
material.data.tacticalplans,Tactical Plans,Tactical Plans,Taktikpläne,Planes tácticos,Plans stratégiques,Planos táticos,Тактические планы
material.data.taxrecords,Tax Records,Tax Records,Steuerunterlagen,Registros fiscales,Dossiers fiscaux,Registros tributários,Налоговые отчеты
material.data.topographicalsurveys,Topographical Surveys,Topographical Surveys,Topographische Erhebung,Estudios topográficos,Levés topographiques,Estudos topográficos,Топографические исследования
material.data.travelpermits,Travel Permits,Travel Permits,Reiseerlaubnisse,Permisos de viaje,Autorisations de déplacement,Permissões de viagem,Разрешения на поездки
material.data.troopdeploymentrecords,Troop Deployment Records,Troop Deployment Records,Truppeneinsatzprotokolle,Registros de despliegue de tropas,Comptes-rendus opérationnels,Registros de destacamento de tropas,Отчет по развертыванию войск
material.data.unionmembership,Union Membership,Union Membership,Gewerkschaftsmitgliedschaft,Afiliación sindical,Liste d''adhérents,Pessoal sindicalizado,Список членов союза
material.data.unknown,UNKNOWN,UNKNOWN,UNBEKANNT,DESCONOCIDO,INCONNU,DESCONHECIDO,НЕИЗВЕСТНЫЙ
material.data.vaccinationrecords,Vaccination Records,Vaccination Records,Aufzeichnungen zu Impfungen,Registros de vacunación,Dossiers de vaccination,Registros de vacinação,Журналы вакцинации
material.data.vaccineresearch,Vaccine Research,Vaccine Research,Impfstoffforschung,Investigación sobre vacunas,Recherches vaccinales,Pesquisas de vacinas,Исследование вакцины
material.data.vipsecuritydetail,VIP Security Detail,VIP Security Detail,VIP-Sicherheitsdienst,Información de seguridad VIP,Protection rapprochée de VIP,Detalhes de segurança VIP,Охрана высокопоставленных лиц
material.data.virologydata,Virology Data,Virology Data,Virologische Daten,Datos virológicos,Données de virologie,Dados de virologia,Информация о вирусах
material.data.virus,Virus,Virus,Virus,Virus,Virus,Vírus,Вирус
material.data.visitorregister,Visitor Register,Visitor Register,Besucherliste,Registro de visitantes,Registre de visites,Registro de visitantes,Реестр посетителей
material.data.weaponinventory,Weapon Inventory,Weapon Inventory,Waffeninventarliste,Inventario de armas,Inventaire d''armement,Estoque de armas,Опись оружия и боеприпасов
material.data.weapontestdata,Weapon Test Data,Weapon Test Data,Waffentestdaten,Datos de pruebas armamentísticas,Données de test d''armes,Dados de testes de arma,Сведения об испытаниях вооружения
material.data.xenodefenceprotocols,Xeno-Defence Protocols,Xeno-Defence Protocols,Xeno-Abwehr-Protokolle,Protocolos de xenodefensa,Protocoles anti-xénomorphes,Protocolos de defesa antixeno,Алгоритм противодействия инопланетной угрозе
material.encoded.adaptiveencryptors,Adaptive Encryptors Capture,Adaptive Encryptors Capture,Adaptive Verschlüsselungserfassung,Captura de encriptadores adaptativos,Capture de cryptage évolutif,Encriptadores adaptativos capturados,Захват адаптивного шифровальщика
material.encoded.ancientbiologicaldata,Pattern Alpha Obelisk Data,Pattern Alpha Obelisk Data,Alpha-Muster-Obeliskendaten,Datos de obelisco de patrón alfa,Données d''obélisque de type alpha,Dados de Obelisco de Padrão Alfa,Данные с обелиска «Альфа»
